name,id,nametype,recclass,mass,fall,year,reclat,reclong,log_mass
Lewis Cliff 88556,14297,Valid,H6,3.9,Found,1988.0,-84.25368,161.4615,0.5910647183840444
Grosvenor Mountains 95531,11259,Valid,L6,723.3,Found,1995.0,-85.66667,175.0,2.8593184656975508
Elephant Moraine 99426,9969,Valid,H5,31.6,Found,1999.0,-76.18333,157.16667,1.4996870963619
Miller Range 07431,52270,Valid,L6,9.5,Found,2007.0,0.0,0.0,0.9777236510040539
Asuka 881712,4421,Valid,H4,32.97,Found,1988.0,-72.0,26.0,1.5181189603155665
Yamato 791525,26874,Valid,L6,0.71,Found,1979.0,-71.5,35.66667,-0.1487410395989866
Asuka 880749,3458,Valid,H6,16.66,Found,1988.0,-72.0,26.0,1.2216750231388642
Queen Alexandra Range 93016,19105,Valid,L6,1979.6,Found,1993.0,-84.61914,162.43054,3.2965774453585035
Suwanee Spring,23768,Valid,L5,1200.0,Found,1979.0,34.95,-107.16667,3.079181246409537
Queen Alexandra Range 99127,21579,Valid,LL5,8.4,Found,1999.0,-84.0,168.0,0.9242793377636026
Queen Alexandra Range 93245,19334,Valid,L5,124.7,Found,1993.0,-84.59658,162.31037,2.095866456961257
Yamato 74023,24401,Valid,L6,6.3,Found,1974.0,-71.5,35.66667,0.7993406183892082
Queen Alexandra Range 93302,19390,Valid,H5,37.7,Found,1993.0,-84.60121,162.18672,1.5763413617255402
Grove Mountains 053088,48407,Valid,L5,12.67,Found,2006.0,-72.779167,75.315556,1.102776649160826
Queen Alexandra Range 97190,20648,Valid,LL5,59.2,Found,1997.0,-84.0,168.0,1.772321714058975
Jiddat al Harasis 495,51402,Valid,L6,501.8,Found,2007.0,19.78508,56.41243,2.700530657844065
Miller Range 090877,56033,Valid,L6,38.1,Found,2009.0,0.0,0.0,1.5809249870744244
Meteorite Hills 01163,16395,Valid,LL5,29.8,Found,2001.0,-79.68333,159.75,1.4742162786498954
Lucerne Valley 023,14747,Valid,L6,7.56,Found,2002.0,34.49095,-116.95038,0.8785218529475627
Elephant Moraine 90952,9361,Valid,L6,21.5,Found,1990.0,-76.27103,156.43809,1.3324384801153482
Roosevelt County 087,22742,Valid,H5,8.2,Found,1977.0,34.06667,-103.51667,0.9138139053464551
Allan Hills 09010,55801,Valid,L3.4,2.6,Found,2009.0,0.0,0.0,0.4149735150071251
Queen Alexandra Range 93025,19114,Valid,H5,626.1,Found,1993.0,-84.63051,162.50212,2.796643704478767
Jiddat al Harasis 232,35551,Valid,L6,17.52,Found,2005.0,19.98675,56.38977,1.243534126620559
Queen Alexandra Range 97941,21395,Valid,LL5,43.6,Found,1997.0,-84.0,168.0,1.6394864992294684
Lewis Cliff 86330,13262,Valid,L6,20.7,Found,1986.0,-84.27382,161.68889,1.315970366437327
Dominion Range 08176,53995,Valid,LL6,8.4,Found,2008.0,0.0,0.0,0.9242793377636026
Queen Alexandra Range 93305,19393,Valid,L5,97.6,Found,1993.0,-84.57774,162.04424,1.9894498221164303
Queen Alexandra Range 93499,19587,Valid,H5,10.0,Found,1993.0,-84.0,168.0,1.000000043429446
