name,id,nametype,recclass,mass,fall,year,reclat,reclong,log_mass,is_outlier
Delphos (d),6648,Valid,H5,276.0,Found,1969.0,34.05,-103.55,2.4409090836387484,0
Densmore (1879),6656,Valid,L6,37200.0,Found,1879.0,39.65,-99.68333,4.570542939893572,0
Densmore (1950),6657,Valid,H6,11300.0,Found,1950.0,39.56583,-99.64722,4.053078443521853,0
Denton County,6659,Valid,"Iron, IIIAB",5400.0,Found,1856.0,33.0,-97.0,3.7323937599033936,0
Deport,6662,Valid,"Iron, IAB-sLL",15000.0,Found,1926.0,33.51667,-95.3,4.176091259084634,0
Deport (a),6663,Valid,H4,604.0,Found,1944.0,33.51667,-95.3,2.7810369393401624,0
Dermbach,6665,Valid,"Iron, ungrouped",1500.0,Found,1924.0,50.71667,10.11667,3.176091259345211,0
Dexter,6697,Valid,"Iron, IIIAB",1724.0,Found,1889.0,33.81667,-97.0,3.236537261740605,0
Dimboola,7643,Valid,H5,16000.0,Found,1944.0,-36.5,142.03333,4.204119982683068,0
Dimitrovgrad,7644,Valid,"Iron, IIIAB",100000.0,Found,1949.0,43.04639,22.86389,5.000000000004343,0
Dimmitt,7645,Valid,H3.7,200000.0,Found,1942.0,34.58333,-102.16667,5.301029995666153,0
Dingo Pup Donga,7647,Valid,Ureilite,122.7,Found,1965.0,-30.43333,126.1,2.0888445662664865,0
Dispatch,7648,Valid,H,220.0,Found,1956.0,39.5,-98.53333,2.342422682796272,0
Dix,7651,Valid,L6,44000.0,Found,1927.0,41.23333,-103.48333,4.643452676496057,0
Donnybrook,7709,Valid,Mesosiderite?,414.0,Found,1918.0,-33.61667,115.91667,2.6170003421699195,0
Doolgunna,7710,Valid,L,20.0,Found,1967.0,-25.93333,119.3,1.3010300173787048,0
Dor el Gani,7711,Valid,"Iron, IIIAB",2575.0,Found,1972.0,26.95833,16.03333,3.410777233545868,0
Dora (pallasite),7712,Valid,"Pallasite, PMG",7600.0,Found,1955.0,33.92667,-103.955,3.8808135923379354,0
Dora (stone),7713,Valid,OC,1570.0,Found,1970.0,33.92333,-103.35,3.1958996526858545,0
Dorofeevka,7717,Valid,"Iron, IIF",12600.0,Found,1910.0,53.33333,70.06667,4.100370545152031,0
Dorrigo,7720,Valid,"Iron, ungrouped",8500.0,Found,1948.0,-30.28333,152.66667,3.929418925765386,0
